================ Training Loss (Mon Jun  7 02:43:15 2021) ================
(epoch: 28, iters: 100, time: 0.526, data: 0.268) D_A: 0.016 G_A: 0.785 cycle_A: 1.644 idt_A: 0.573 D_B: 0.003 G_B: 0.966 cycle_B: 1.271 idt_B: 1.141 
(epoch: 28, iters: 200, time: 0.523, data: 0.002) D_A: 0.011 G_A: 1.027 cycle_A: 3.690 idt_A: 0.639 D_B: 0.006 G_B: 1.059 cycle_B: 1.108 idt_B: 1.697 
(epoch: 29, iters: 100, time: 0.524, data: 0.253) D_A: 0.015 G_A: 0.802 cycle_A: 1.619 idt_A: 0.459 D_B: 0.002 G_B: 1.052 cycle_B: 1.171 idt_B: 0.980 
(epoch: 29, iters: 200, time: 0.524, data: 0.002) D_A: 0.019 G_A: 0.762 cycle_A: 0.811 idt_A: 0.815 D_B: 0.005 G_B: 0.949 cycle_B: 1.941 idt_B: 0.605 
(epoch: 30, iters: 100, time: 0.524, data: 0.289) D_A: 0.014 G_A: 0.798 cycle_A: 2.143 idt_A: 0.304 D_B: 0.003 G_B: 0.952 cycle_B: 0.553 idt_B: 0.713 
(epoch: 30, iters: 200, time: 0.523, data: 0.003) D_A: 0.056 G_A: 0.644 cycle_A: 1.998 idt_A: 0.359 D_B: 0.003 G_B: 0.954 cycle_B: 0.719 idt_B: 1.550 
(epoch: 31, iters: 100, time: 0.523, data: 0.214) D_A: 0.020 G_A: 0.783 cycle_A: 2.166 idt_A: 1.016 D_B: 0.002 G_B: 0.984 cycle_B: 1.369 idt_B: 0.807 
(epoch: 31, iters: 200, time: 0.531, data: 0.002) D_A: 0.013 G_A: 0.911 cycle_A: 1.566 idt_A: 0.368 D_B: 0.001 G_B: 0.951 cycle_B: 0.672 idt_B: 0.798 
(epoch: 32, iters: 100, time: 0.524, data: 0.229) D_A: 0.011 G_A: 1.212 cycle_A: 1.537 idt_A: 0.903 D_B: 0.005 G_B: 0.939 cycle_B: 1.476 idt_B: 1.298 
(epoch: 32, iters: 200, time: 0.525, data: 0.002) D_A: 0.017 G_A: 0.800 cycle_A: 1.160 idt_A: 0.267 D_B: 0.001 G_B: 1.003 cycle_B: 0.629 idt_B: 0.616 
(epoch: 33, iters: 100, time: 0.525, data: 0.233) D_A: 0.028 G_A: 0.706 cycle_A: 1.516 idt_A: 0.699 D_B: 0.003 G_B: 1.028 cycle_B: 0.932 idt_B: 0.899 
(epoch: 33, iters: 200, time: 0.524, data: 0.002) D_A: 0.012 G_A: 0.790 cycle_A: 1.094 idt_A: 0.542 D_B: 0.003 G_B: 0.932 cycle_B: 0.600 idt_B: 0.652 
(epoch: 34, iters: 100, time: 0.523, data: 0.199) D_A: 0.016 G_A: 0.577 cycle_A: 0.763 idt_A: 1.097 D_B: 0.001 G_B: 0.975 cycle_B: 1.728 idt_B: 0.369 
(epoch: 34, iters: 200, time: 0.524, data: 0.003) D_A: 0.012 G_A: 0.870 cycle_A: 1.483 idt_A: 0.553 D_B: 0.003 G_B: 0.972 cycle_B: 0.840 idt_B: 0.737 
(epoch: 35, iters: 100, time: 0.525, data: 0.312) D_A: 0.034 G_A: 0.626 cycle_A: 0.917 idt_A: 0.259 D_B: 0.006 G_B: 1.050 cycle_B: 0.680 idt_B: 0.643 
(epoch: 35, iters: 200, time: 0.524, data: 0.003) D_A: 0.009 G_A: 0.766 cycle_A: 2.301 idt_A: 0.743 D_B: 0.004 G_B: 0.952 cycle_B: 0.506 idt_B: 0.934 
